算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数,下界
LBBD3.py,20-2-5-a10-i2.json,20,2,5,10,2,3700,3700,0,1,0.319,0.032,0.165,0.093,14,3700
LBBD3.py,20-2-5-a100-i3.json,20,2,5,100,3,3904,3904,0,1,0.255,0.034,0.188,0,12,3904
LBBD3.py,20-3-3-a10-i1.json,20,3,3,10,1,3041,3041,0,1,0.318,0.044,0.235,0,13,3041
LBBD3.py,20-3-3-a100-i2.json,20,3,3,100,2,3275,3275,0,1,0.33,0.036,0.261,0,10,3275
LBBD3.py,20-3-4-a10-i1.json,20,3,4,10,1,3003,3003,0,1,0.328,0.04,0.248,0,12,3003
LBBD3.py,20-3-4-a100-i3.json,20,3,4,100,3,3870,3870,0,1,0.386,0.064,0.268,0,12,3870
LBBD3.py,20-3-5-a0.1-i3.json,20,3,5,0.1,3,4167,4167,0,257,547.195,383.751,61.537,101.669,15,4167
LBBD3.py,20-3-5-a10-i2.json,20,3,5,10,2,3421,3421,0,59,47.447,10.806,15.421,21.121,11,3421
LBBD3.py,20-4-3-a0.1-i2.json,20,4,3,0.1,2,3761,3761,0,53,68.009,32.28,17.641,17.998,10,3761
LBBD3.py,20-4-3-a1-i2.json,20,4,3,1,2,3773,3773,0,70,111.781,64.975,23.422,23.183,9,3773
LBBD3.py,20-4-4-a0.1-i2.json,20,4,4,0.1,2,3644,3644,0,64,98.982,50.375,20.255,28.226,11,3644
LBBD3.py,20-4-4-a1-i1.json,20,4,4,1,1,3091,3091,0,1,0.484,0.071,0.331,0,14,3091
LBBD3.py,20-4-5-a10-i3.json,20,4,5,10,3,3364,3364,0,1,0.384,0.059,0.251,0,9,3364
LBBD3.py,20-4-5-a100-i3.json,20,4,5,100,3,3364,3364,0,1,0.395,0.067,0.255,0,9,3364
LBBD3.py,25-2-3-a10-i1.json,25,2,3,10,1,4670,4670,0,1,0.244,0.038,0.18,0,14,4670
LBBD3.py,25-2-3-a100-i3.json,25,2,3,100,3,4446,4446,0,1,0.221,0.04,0.159,0,19,4446
LBBD3.py,25-2-4-a1-i2.json,25,2,4,1,2,5887,5573,0.053337863,156,606.115,492.517,26.236,87.206,19,5573
