算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD31noub.py,30-4-7-a0.1-i2.json,30,4,7,0.1,2,8750,6184,0.293257143,250,1802.485,1565.666,236.173,0,30
LBBD31noub.py,30-4-7-a1-i2.json,30,4,7,1,2,8750,6180,0.293714286,251,1811.454,1565.682,245.037,0,30
LBBD31noub.py,30-4-8-a1-i3.json,30,4,8,1,3,7660,4999,0.347389034,323,1810.768,1502.396,307.68,0,30
LBBD31noub.py,30-4-8-a10-i3.json,30,4,8,10,3,4849,4849,0,161,199.685,88.889,110.437,0,15
LBBD31noub.py,30-5-6-a0.1-i1.json,30,5,6,0.1,1,8050,5340,0.336645963,218,1820.759,1729.967,90.241,0,30
LBBD31noub.py,30-5-6-a10-i3.json,30,5,6,10,3,4986,4986,0,324,762.355,558.84,202.878,0,15
LBBD31noub.py,30-5-7-a0.1-i1.json,30,5,7,0.1,1,8050,5260,0.346583851,316,1810.787,1513.864,296.183,0,30
LBBD31noub.py,30-5-7-a1-i1.json,30,5,7,1,1,8050,5309,0.340496894,191,1809.596,1641.517,167.457,0,30
LBBD31noub.py,30-5-8-a1-i3.json,30,5,8,1,3,7490,4847,0.352870494,280,1805.367,1674.777,129.787,0,30
LBBD31noub.py,30-5-8-a10-i3.json,30,5,8,10,3,4639,4639,0,25,17.642,7.392,10.011,0,16
LBBD31noub.py,50-3-6-a0.1-i3.json,50,3,6,0.1,3,13460,9625,0.284918276,166,1804.569,1410.089,393.911,0,50
LBBD31noub.py,50-3-6-a1-i3.json,50,3,6,1,3,13460,9630,0.284546805,168,1824.965,1405.673,418.725,0,50
LBBD31noub.py,50-3-7-a0.1-i3.json,50,3,7,0.1,3,13460,9278,0.310698366,79,1831.656,1357.515,473.738,0,50
LBBD31noub.py,50-3-7-a100-i3.json,50,3,7,100,3,8974,8974,0,1,15.301,0.182,14.895,0,18
LBBD31noub.py,50-3-8-a0.1-i1.json,50,3,8,0.1,1,11830,8523,0.279543533,276,1811.823,1557.647,253.342,0,50
LBBD31noub.py,50-3-8-a100-i2.json,50,3,8,100,2,8893,8893,0,1,45.891,0.177,45.439,0,25
LBBD31noub.py,50-4-6-a0.1-i2.json,50,4,6,0.1,2,13250,8494,0.358943396,59,864.874,819.317,45.242,0,50
LBBD31noub.py,50-4-6-a1-i2.json,50,4,6,1,2,13250,8572,0.353056604,47,932.655,885.246,47.105,0,50
LBBD31noub.py,50-4-7-a10-i2.json,50,4,7,10,2,13250,8158,0.384301887,98,1805.32,58.527,1746.409,0,50
LBBD31noub.py,50-4-7-a100-i1.json,50,4,7,100,1,7961,7961,0,1,1.077,0.296,0.488,0,25
LBBD31noub.py,50-4-8-a10-i2.json,50,4,8,10,2,13250,8239,0.378188679,207,1810.311,672.245,1137.296,0,50
LBBD31noub.py,50-4-8-a100-i1.json,50,4,8,100,1,7956,7956,0,1,1.667,0.308,0.995,0,25
