算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD3.py,15-4-4-a10-i1.json,15,4,4,10,1,2228,2228,0,1,0.431,0.051,0.342,0,8
LBBD3.py,15-4-5-a10-i1.json,15,4,5,10,1,2412,2412,0,1,0.45,0.063,0.331,0,9
LBBD3.py,15-4-5-a10-i3.json,15,4,5,10,3,3150,3150,0,1,0.373,0.059,0.268,0,3
LBBD3.py,20-2-3-a10-i3.json,20,2,3,10,3,3986,3986,0,2,0.541,0.068,0.354,0.093,13
LBBD3.py,20-2-3-a100-i1.json,20,2,3,100,1,3351,3351,0,1,0.23,0.032,0.18,0,13
LBBD3.py,20-2-4-a10-i1.json,20,2,4,10,1,3483,3483,0,1,0.223,0.034,0.161,0,14
LBBD3.py,20-2-4-a100-i1.json,20,2,4,100,1,3483,3483,0,1,0.24,0.037,0.177,0,14
LBBD3.py,20-2-5-a10-i2.json,20,2,5,10,2,3700,3700,0,1,0.315,0.035,0.162,0.087,14
LBBD3.py,20-2-5-a100-i3.json,20,2,5,100,3,3904,3904,0,1,0.253,0.038,0.175,0,12
LBBD3.py,20-3-3-a10-i1.json,20,3,3,10,1,3041,3041,0,1,0.33,0.037,0.26,0,13
LBBD3.py,20-3-3-a100-i2.json,20,3,3,100,2,3275,3275,0,1,0.333,0.036,0.268,0,10
LBBD3.py,20-3-4-a10-i1.json,20,3,4,10,1,3003,3003,0,1,0.354,0.039,0.269,0,12
LBBD3.py,20-3-4-a100-i3.json,20,3,4,100,3,3870,3870,0,1,0.373,0.044,0.275,0,12
LBBD3.py,20-3-5-a0.1-i3.json,20,3,5,0.1,3,4167,4167,0,257,526.762,360.766,61.287,104.476,15
LBBD3.py,20-3-5-a10-i2.json,20,3,5,10,2,3421,3421,0,59,46.136,10.049,15.042,20.96,11
LBBD3.py,20-4-3-a0.1-i2.json,20,4,3,0.1,2,3761,3761,0,51,65.169,30.585,17.183,17.318,10
LBBD3.py,20-4-3-a1-i2.json,20,4,3,1,2,3773,3773,0,70,109.214,62.594,23.222,23.301,9
LBBD3.py,20-4-4-a0.1-i2.json,20,4,4,0.1,2,3644,3644,0,64,97.69,49.929,19.812,27.84,11
LBBD3.py,20-4-4-a1-i1.json,20,4,4,1,1,3091,3091,0,1,0.423,0.048,0.324,0,14
LBBD3.py,20-4-5-a10-i3.json,20,4,5,10,3,3364,3364,0,1,0.405,0.063,0.274,0,9
LBBD3.py,20-4-5-a100-i3.json,20,4,5,100,3,3364,3364,0,1,0.424,0.059,0.274,0,9
