算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,状态,目标值,下界,Gap,总求解时间(s),日志路径
MIBS,5-4-4-a0.1-i2.json,5,4,4,0.1,2,TerminationCondition.optimal,1139.0,1139.0,0.0,0.625,batch_test_results_custom/logs/mibs_5-4-4-a0.1-i2.json.log
MIBS,5-4-4-a0.1-i3.json,5,4,4,0.1,3,TerminationCondition.optimal,1149.0,1149.0,0.0,10.662,batch_test_results_custom/logs/mibs_5-4-4-a0.1-i3.json.log
MIBS,5-4-4-a1-i1.json,5,4,4,1.0,1,TerminationCondition.optimal,798.0,798.0,0.0,0.624,batch_test_results_custom/logs/mibs_5-4-4-a1-i1.json.log
MIBS,5-4-4-a1-i2.json,5,4,4,1.0,2,TerminationCondition.optimal,1139.0,1139.0,0.0,0.892,batch_test_results_custom/logs/mibs_5-4-4-a1-i2.json.log
MIBS,5-4-4-a1-i3.json,5,4,4,1.0,3,TerminationCondition.optimal,1149.0,1149.0,0.0,13.646,batch_test_results_custom/logs/mibs_5-4-4-a1-i3.json.log
MIBS,5-4-4-a10-i1.json,5,4,4,10.0,1,TerminationCondition.optimal,818.0,818.0,0.0,0.956,batch_test_results_custom/logs/mibs_5-4-4-a10-i1.json.log
MIBS,5-4-4-a10-i2.json,5,4,4,10.0,2,TerminationCondition.optimal,1139.0,1139.0,0.0,0.718,batch_test_results_custom/logs/mibs_5-4-4-a10-i2.json.log
MIBS,5-4-4-a10-i3.json,5,4,4,10.0,3,TerminationCondition.optimal,1124.0,1124.0,0.0,0.726,batch_test_results_custom/logs/mibs_5-4-4-a10-i3.json.log
MIBS,5-4-4-a100-i1.json,5,4,4,100.0,1,TerminationCondition.optimal,798.0,798.0,0.0,0.587,batch_test_results_custom/logs/mibs_5-4-4-a100-i1.json.log
MIBS,5-4-4-a100-i2.json,5,4,4,100.0,2,TerminationCondition.optimal,1139.0,1139.0,0.0,0.752,batch_test_results_custom/logs/mibs_5-4-4-a100-i2.json.log
MIBS,5-4-4-a100-i3.json,5,4,4,100.0,3,TerminationCondition.optimal,1124.0,1124.0,0.0,0.733,batch_test_results_custom/logs/mibs_5-4-4-a100-i3.json.log
MIBS,5-4-5-a0.1-i1.json,5,4,5,0.1,1,TerminationCondition.optimal,815.0,815.0,0.0,0.827,batch_test_results_custom/logs/mibs_5-4-5-a0.1-i1.json.log
MIBS,5-4-5-a0.1-i2.json,5,4,5,0.1,2,TerminationCondition.optimal,989.0,989.0,0.0,0.926,batch_test_results_custom/logs/mibs_5-4-5-a0.1-i2.json.log
MIBS,5-4-5-a0.1-i3.json,5,4,5,0.1,3,TerminationCondition.optimal,1039.0,1039.0,0.0,54.074,batch_test_results_custom/logs/mibs_5-4-5-a0.1-i3.json.log
MIBS,5-4-5-a1-i1.json,5,4,5,1.0,1,TerminationCondition.optimal,815.0,815.0,0.0,0.806,batch_test_results_custom/logs/mibs_5-4-5-a1-i1.json.log
MIBS,5-4-5-a1-i2.json,5,4,5,1.0,2,TerminationCondition.optimal,989.0,989.0,0.0,0.968,batch_test_results_custom/logs/mibs_5-4-5-a1-i2.json.log
MIBS,5-4-5-a1-i3.json,5,4,5,1.0,3,TerminationCondition.optimal,997.0,997.0,0.0,0.846,batch_test_results_custom/logs/mibs_5-4-5-a1-i3.json.log
MIBS,5-4-5-a10-i1.json,5,4,5,10.0,1,TerminationCondition.optimal,810.0,810.0,0.0,0.728,batch_test_results_custom/logs/mibs_5-4-5-a10-i1.json.log
MIBS,5-4-5-a10-i2.json,5,4,5,10.0,2,TerminationCondition.optimal,989.0,989.0,0.0,0.816,batch_test_results_custom/logs/mibs_5-4-5-a10-i2.json.log
MIBS,5-4-5-a10-i3.json,5,4,5,10.0,3,TerminationCondition.optimal,997.0,997.0,0.0,0.816,batch_test_results_custom/logs/mibs_5-4-5-a10-i3.json.log
MIBS,5-4-5-a100-i1.json,5,4,5,100.0,1,TerminationCondition.optimal,810.0,810.0,0.0,0.842,batch_test_results_custom/logs/mibs_5-4-5-a100-i1.json.log
MIBS,5-4-5-a100-i2.json,5,4,5,100.0,2,TerminationCondition.optimal,989.0,989.0,0.0,0.962,batch_test_results_custom/logs/mibs_5-4-5-a100-i2.json.log
MIBS,5-4-5-a100-i3.json,5,4,5,100.0,3,TerminationCondition.optimal,997.0,997.0,0.0,0.828,batch_test_results_custom/logs/mibs_5-4-5-a100-i3.json.log
MIBS,10-2-3-a0.1-i1.json,10,2,3,0.1,1,TerminationCondition.unknown,无,无,无,600.896,batch_test_results_custom/logs/mibs_10-2-3-a0.1-i1.json.log
MIBS,10-2-3-a0.1-i2.json,10,2,3,0.1,2,TerminationCondition.unknown,无,无,无,601.072,batch_test_results_custom/logs/mibs_10-2-3-a0.1-i2.json.log
MIBS,10-2-3-a0.1-i3.json,10,2,3,0.1,3,TerminationCondition.optimal,2412.0,2412.0,0.0,2.426,batch_test_results_custom/logs/mibs_10-2-3-a0.1-i3.json.log
MIBS,10-2-3-a1-i1.json,10,2,3,1.0,1,TerminationCondition.unknown,无,无,无,601.011,batch_test_results_custom/logs/mibs_10-2-3-a1-i1.json.log
MIBS,10-2-3-a1-i2.json,10,2,3,1.0,2,TerminationCondition.unknown,无,无,无,600.938,batch_test_results_custom/logs/mibs_10-2-3-a1-i2.json.log
MIBS,10-2-3-a1-i3.json,10,2,3,1.0,3,TerminationCondition.optimal,2398.0,2398.0,0.0,2.162,batch_test_results_custom/logs/mibs_10-2-3-a1-i3.json.log
MIBS,10-2-3-a10-i1.json,10,2,3,10.0,1,TerminationCondition.optimal,2316.0,2316.0,0.0,1.251,batch_test_results_custom/logs/mibs_10-2-3-a10-i1.json.log
MIBS,10-2-3-a10-i2.json,10,2,3,10.0,2,TerminationCondition.optimal,2096.0,2096.0,0.0,1.862,batch_test_results_custom/logs/mibs_10-2-3-a10-i2.json.log
MIBS,10-2-3-a10-i3.json,10,2,3,10.0,3,TerminationCondition.optimal,2294.0,2294.0,0.0,0.879,batch_test_results_custom/logs/mibs_10-2-3-a10-i3.json.log
MIBS,10-2-3-a100-i1.json,10,2,3,100.0,1,TerminationCondition.optimal,2316.0,2316.0,0.0,1.175,batch_test_results_custom/logs/mibs_10-2-3-a100-i1.json.log
MIBS,10-2-3-a100-i2.json,10,2,3,100.0,2,TerminationCondition.optimal,2096.0,2096.0,0.0,1.83,batch_test_results_custom/logs/mibs_10-2-3-a100-i2.json.log
MIBS,10-2-3-a100-i3.json,10,2,3,100.0,3,TerminationCondition.optimal,2294.0,2294.0,0.0,0.988,batch_test_results_custom/logs/mibs_10-2-3-a100-i3.json.log
MIBS,10-2-4-a0.1-i1.json,10,2,4,0.1,1,TerminationCondition.unknown,无,无,无,601.075,batch_test_results_custom/logs/mibs_10-2-4-a0.1-i1.json.log
MIBS,10-2-4-a0.1-i2.json,10,2,4,0.1,2,TerminationCondition.unknown,无,无,无,601.079,batch_test_results_custom/logs/mibs_10-2-4-a0.1-i2.json.log
MIBS,10-2-4-a0.1-i3.json,10,2,4,0.1,3,TerminationCondition.unknown,无,无,无,601.291,batch_test_results_custom/logs/mibs_10-2-4-a0.1-i3.json.log
MIBS,10-2-4-a1-i1.json,10,2,4,1.0,1,TerminationCondition.unknown,无,无,无,601.023,batch_test_results_custom/logs/mibs_10-2-4-a1-i1.json.log
MIBS,10-2-4-a1-i2.json,10,2,4,1.0,2,TerminationCondition.unknown,无,无,无,601.028,batch_test_results_custom/logs/mibs_10-2-4-a1-i2.json.log
MIBS,10-2-4-a1-i3.json,10,2,4,1.0,3,TerminationCondition.optimal,2325.0,2325.0,0.0,281.996,batch_test_results_custom/logs/mibs_10-2-4-a1-i3.json.log
MIBS,10-2-4-a10-i1.json,10,2,4,10.0,1,TerminationCondition.optimal,2208.0,2208.0,0.0,1.659,batch_test_results_custom/logs/mibs_10-2-4-a10-i1.json.log
MIBS,10-2-4-a10-i2.json,10,2,4,10.0,2,TerminationCondition.optimal,2007.0,2007.0,0.0,4.018,batch_test_results_custom/logs/mibs_10-2-4-a10-i2.json.log
MIBS,10-2-4-a10-i3.json,10,2,4,10.0,3,TerminationCondition.optimal,2258.0,2258.0,0.0,1.829,batch_test_results_custom/logs/mibs_10-2-4-a10-i3.json.log
MIBS,10-2-4-a100-i1.json,10,2,4,100.0,1,TerminationCondition.optimal,2208.0,2208.0,0.0,1.58,batch_test_results_custom/logs/mibs_10-2-4-a100-i1.json.log
MIBS,10-2-4-a100-i2.json,10,2,4,100.0,2,TerminationCondition.optimal,2007.0,2007.0,0.0,2.621,batch_test_results_custom/logs/mibs_10-2-4-a100-i2.json.log
MIBS,10-2-4-a100-i3.json,10,2,4,100.0,3,TerminationCondition.optimal,2258.0,2258.0,0.0,1.465,batch_test_results_custom/logs/mibs_10-2-4-a100-i3.json.log
