算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD3-BCH.py,30-4-6-a1-i1.json,30,4,6,1,1,5757,5641.5,0.020062533,773,1800.21,0.279,350.641,220.245,18
LBBD3-BCH.py,30-4-6-a1-i2.json,30,4,6,1,2,7254,6482.666667,0.106332139,696,1800.452,0.25,321.578,168.352,20
LBBD3-BCH.py,30-4-6-a1-i3.json,30,4,6,1,3,5345,4755.63731,0.110264301,761,1800.613,0.282,285.121,177.403,20
LBBD3-BCH.py,30-4-6-a10-i1.json,30,4,6,10,1,5556,5556,0,37,31.779,0.006,10.36,9.152,14
LBBD3-BCH.py,30-4-6-a10-i2.json,30,4,6,10,2,6468,6468,0,264,398.02,0.094,93.059,73.223,10
LBBD3-BCH.py,30-4-6-a10-i3.json,30,4,6,10,3,4691,4691,0,61,123.877,0.024,48.24,15.425,15
LBBD3-BCH.py,30-4-6-a100-i1.json,30,4,6,100,1,5526,5526,0,5,2.672,0.002,1.331,1.068,14
LBBD3-BCH.py,30-4-6-a100-i2.json,30,4,6,100,2,6402,6402,0,4,1.979,0.002,0.928,0.798,10
LBBD3-BCH.py,30-4-6-a100-i3.json,30,4,6,100,3,4603,4603,0,5,3.797,0.001,2.156,1.358,12
LBBD3-BCH.py,30-4-7-a0.1-i1.json,30,4,7,0.1,1,5528,5340,0.034008683,970,1800.249,0.346,417.649,247.803,17
LBBD3-BCH.py,30-4-7-a0.1-i2.json,30,4,7,0.1,2,7155,6032,0.15695318,602,1801.159,0.227,375.308,136.903,21
LBBD3-BCH.py,30-4-7-a0.1-i3.json,30,4,7,0.1,3,5009,4769,0.047913755,870,1800.365,0.328,388.859,229.678,17
LBBD3-BCH.py,30-4-7-a1-i1.json,30,4,7,1,1,5903,5315,0.099610368,798,1801.213,0.334,338.137,223.543,19
LBBD3-BCH.py,30-4-7-a1-i2.json,30,4,7,1,2,6978,6038.5,0.134637432,527,1802.015,0.222,420.484,138.568,19
LBBD3-BCH.py,30-4-7-a1-i3.json,30,4,7,1,3,5130,4776.5,0.068908382,788,1800.921,0.32,346.884,225.486,17
LBBD3-BCH.py,30-4-7-a10-i1.json,30,4,7,10,1,5238,5238,0,182,333.872,0.066,140.73,53.805,15
LBBD3-BCH.py,30-4-7-a10-i2.json,30,4,7,10,2,5968,5968,0,18,18.202,0.006,8.25,4.936,9
