instance,N_whale,a_decay,b,objective,time,status
50-3-7-a100-i1.json,50,sqrt,1.5,11830.0,299.4579179286957,success
50-3-7-a100-i1.json,80,linear,1.0,11830.0,299.798832654953,success
50-3-7-a100-i1.json,80,linear,1.5,11830.0,299.52680373191833,success
50-3-7-a100-i1.json,80,sqrt,1.0,11830.0,299.111111164093,success
50-3-7-a100-i1.json,80,sqrt,1.5,11830.0,299.1419463157654,success
50-3-8-a100-i3.json,30,linear,1.0,13460.0,299.95767521858215,success
50-3-8-a100-i3.json,30,linear,1.5,13460.0,299.7629587650299,success
50-3-8-a100-i3.json,30,sqrt,1.0,13460.0,299.91082406044006,success
50-3-8-a100-i3.json,30,sqrt,1.5,13460.0,299.9697868824005,success
50-3-8-a100-i3.json,50,linear,1.0,13460.0,299.9540913105011,success
50-3-8-a100-i3.json,50,linear,1.5,13460.0,299.2994170188904,success
50-3-8-a100-i3.json,50,sqrt,1.0,13460.0,299.8522279262543,success
50-3-8-a100-i3.json,50,sqrt,1.5,13460.0,299.3763303756714,success
50-3-8-a100-i3.json,80,linear,1.0,13460.0,299.63618063926697,success
50-3-8-a100-i3.json,80,linear,1.5,13460.0,299.61073422431946,success
50-3-8-a100-i3.json,80,sqrt,1.0,13460.0,299.64144349098206,success
50-3-8-a100-i3.json,80,sqrt,1.5,13460.0,299.0260446071625,success
50-4-6-a10-i1.json,30,linear,1.0,11660.0,299.87958884239197,success
50-4-6-a10-i1.json,30,linear,1.5,11645.0,299.4736487865448,success
50-4-6-a10-i1.json,30,sqrt,1.0,11645.0,299.58644914627075,success
50-4-6-a10-i1.json,30,sqrt,1.5,11660.0,299.1344630718231,success
50-4-6-a10-i1.json,50,linear,1.0,11660.0,299.106290102005,success
50-4-6-a10-i1.json,50,linear,1.5,11660.0,299.9095253944397,success
50-4-6-a10-i1.json,50,sqrt,1.0,11660.0,299.4125232696533,success
50-4-6-a10-i1.json,50,sqrt,1.5,11660.0,299.10740184783936,success
50-4-6-a10-i1.json,80,linear,1.0,11660.0,299.32022523880005,success
50-4-6-a10-i1.json,80,linear,1.5,11660.0,299.46819019317627,success
50-4-6-a10-i1.json,80,sqrt,1.0,11660.0,299.320796251297,success
50-4-6-a10-i1.json,80,sqrt,1.5,11660.0,299.31126070022583,success
50-4-7-a1-i3.json,30,linear,1.0,13300.0,299.1515016555786,success
50-4-7-a1-i3.json,30,linear,1.5,13300.0,299.83930826187134,success
50-4-7-a1-i3.json,30,sqrt,1.0,13300.0,299.46877813339233,success
50-4-7-a1-i3.json,30,sqrt,1.5,13300.0,299.4417402744293,success
50-4-7-a1-i3.json,50,linear,1.0,13300.0,299.8679549694061,success
50-4-7-a1-i3.json,50,linear,1.5,13300.0,299.71021270751953,success
50-4-7-a1-i3.json,50,sqrt,1.0,13300.0,299.6109371185303,success
50-4-7-a1-i3.json,50,sqrt,1.5,13300.0,299.01637268066406,success
50-4-7-a1-i3.json,80,linear,1.0,13300.0,299.953999042511,success
50-4-7-a1-i3.json,80,linear,1.5,13300.0,299.4952058792114,success
50-4-7-a1-i3.json,80,sqrt,1.0,13300.0,299.43779706954956,success
50-4-7-a1-i3.json,80,sqrt,1.5,13300.0,299.4237742424011,success
50-4-8-a100-i2.json,30,linear,1.0,13250.0,299.307270526886,success
50-4-8-a100-i2.json,30,linear,1.5,13250.0,299.4416677951813,success
50-4-8-a100-i2.json,30,sqrt,1.0,13250.0,299.3800938129425,success
50-4-8-a100-i2.json,30,sqrt,1.5,13250.0,299.617445230484,success
50-4-8-a100-i2.json,50,linear,1.0,13250.0,299.190776348114,success
50-4-8-a100-i2.json,50,linear,1.5,13250.0,299.72343945503235,success
50-4-8-a100-i2.json,50,sqrt,1.0,13250.0,299.1984782218933,success
50-4-8-a100-i2.json,50,sqrt,1.5,13250.0,299.76634669303894,success
50-4-8-a100-i2.json,80,linear,1.0,13250.0,299.9474267959595,success
50-4-8-a100-i2.json,80,linear,1.5,13250.0,300.057963848114,success
50-4-8-a100-i2.json,80,sqrt,1.0,13250.0,299.39098715782166,success
50-4-8-a100-i2.json,80,sqrt,1.5,13250.0,299.17256689071655,success
50-5-6-a10-i1.json,30,linear,1.0,11417.0,299.3218472003937,success
50-5-6-a10-i1.json,30,linear,1.5,11490.0,299.1395926475525,success
50-5-6-a10-i1.json,30,sqrt,1.0,11407.0,299.8998603820801,success
50-5-6-a10-i1.json,30,sqrt,1.5,11309.0,300.03240394592285,success
50-5-6-a10-i1.json,50,linear,1.0,11383.0,299.03151535987854,success
50-5-6-a10-i1.json,50,linear,1.5,11503.0,299.00626850128174,success
50-5-6-a10-i1.json,50,sqrt,1.0,11066.0,299.0213267803192,success
50-5-6-a10-i1.json,50,sqrt,1.5,11066.0,299.0439808368683,success
