instance,O,P,Q,l_max,objective,time,status
50-3-6-a1-i3.json,0,0,1,8,12646.0,299.0360429286957,success
50-3-6-a1-i3.json,1,0,0,2,2015178.0,299.28546380996704,success
50-3-6-a1-i3.json,1,0,0,5,3009336.0,299.0122261047363,success
50-3-6-a1-i3.json,1,0,0,8,3009336.0,299.52296686172485,success
50-3-6-a1-i3.json,1,0,1,2,2015178.0,299.5357587337494,success
50-3-6-a1-i3.json,1,0,1,5,3009336.0,299.54225969314575,success
50-3-6-a1-i3.json,1,0,1,8,3009336.0,299.53916788101196,success
50-3-7-a100-i1.json,0,0,0,2,10868.0,299.0263047218323,success
50-3-7-a100-i1.json,0,0,0,5,11008.0,299.0386869907379,success
50-3-7-a100-i1.json,0,0,0,8,10370.0,299.0376753807068,success
50-3-7-a100-i1.json,0,0,1,2,10868.0,299.0175654888153,success
50-3-7-a100-i1.json,0,0,1,5,11008.0,299.03363251686096,success
50-3-7-a100-i1.json,0,0,1,8,10370.0,299.0241301059723,success
50-3-7-a100-i1.json,1,0,0,2,8365.0,300.02987813949585,success
50-3-7-a100-i1.json,1,0,0,5,8365.0,299.0368790626526,success
50-3-7-a100-i1.json,1,0,0,8,8365.0,299.46320939064026,success
50-3-7-a100-i1.json,1,0,1,2,8365.0,299.3112082481384,success
50-3-7-a100-i1.json,1,0,1,5,8365.0,299.1433753967285,success
50-3-7-a100-i1.json,1,0,1,8,8365.0,299.0413851737976,success
50-3-8-a100-i3.json,0,0,0,2,12099.0,299.0190634727478,success
50-3-8-a100-i3.json,0,0,0,5,12408.0,299.01406717300415,success
50-3-8-a100-i3.json,0,0,0,8,12332.0,299.0062255859375,success
50-3-8-a100-i3.json,0,0,1,2,12099.0,299.00367760658264,success
50-3-8-a100-i3.json,0,0,1,5,12408.0,299.0129437446594,success
50-3-8-a100-i3.json,0,0,1,8,12332.0,299.0271499156952,success
50-3-8-a100-i3.json,1,0,0,2,9755.0,299.16159439086914,success
50-3-8-a100-i3.json,1,0,0,5,9755.0,299.9086060523987,success
50-3-8-a100-i3.json,1,0,0,8,9755.0,299.7405586242676,success
50-3-8-a100-i3.json,1,0,1,2,9755.0,299.4104154109955,success
50-3-8-a100-i3.json,1,0,1,5,9755.0,299.4708125591278,success
50-3-8-a100-i3.json,1,0,1,8,9755.0,299.3104133605957,success
50-4-6-a10-i1.json,0,0,0,2,10630.0,299.0351469516754,success
50-4-6-a10-i1.json,0,0,0,5,10859.0,299.0193431377411,success
